Date,League,Account,Action,Stash,Item
"15/05/2023, 14:34:51","Crucible","swozn","modified","Currency","3978× Orb of Alteration"
"15/05/2023, 14:34:51","Crucible","swozn","modified","Currency","420× Orb of Alchemy"
"15/05/2023, 14:34:50","Crucible","swozn","modified","Currency","3958× Orb of Alteration"
"15/05/2023, 14:34:49","Crucible","swozn","modified","Currency","3938× Orb of Alteration"
"15/05/2023, 14:34:49","Crucible","swozn","modified","Currency","466× Orb of Scouring"
"15/05/2023, 14:34:49","Crucible","swozn","modified","Currency","398× Chaos Orb"
"15/05/2023, 14:34:49","Crucible","swozn","modified","Currency","148× Instilling Orb"
"15/05/2023, 14:34:48","Crucible","swozn","modified","Currency","417× Orb of Augmentation"
"15/05/2023, 14:34:48","Crucible","swozn","modified","Currency","3918× Orb of Alteration"
"15/05/2023, 14:34:48","Crucible","swozn","modified","Divination Cards","156× The Union"
"15/05/2023, 14:34:47","Crucible","swozn","modified","Currency","165× Orb of Unmaking"
"15/05/2023, 14:34:47","Crucible","swozn","modified","Currency","490× Chromatic Orb"
"15/05/2023, 14:34:47","Crucible","swozn","modified","Currency","2463× Orb of Fusing"
"15/05/2023, 14:34:46","Crucible","swozn","modified","Divination Cards","149× The Union"
"15/05/2023, 14:34:46","Crucible","swozn","modified","Fragment","16× Rusted Reliquary Scarab"
"15/05/2023, 14:34:45","Crucible","swozn","modified","Divination Cards","9× The Tinkerer's Table"
"15/05/2023, 14:34:45","Crucible","swozn","modified","Currency","562× Orb of Chance"
"15/05/2023, 14:34:45","Crucible","swozn","modified","Currency","319× Jeweller's Orb"
"15/05/2023, 14:34:44","Crucible","swozn","modified","Fragment","24× Timeless Eternal Empire Splinter"
"15/05/2023, 14:34:44","Crucible","swozn","modified","Essence","3× Screaming Essence of Wrath"
"15/05/2023, 14:34:44","Crucible","swozn","modified","Currency","400× Orb of Alchemy"
"15/05/2023, 14:34:44","Crucible","swozn","modified","Fragment","6× Rusted Sulphite Scarab"
"15/05/2023, 14:34:43","Crucible","swozn","modified","Divination Cards","19× Man With Bear"
"15/05/2023, 14:34:43","Crucible","swozn","modified","Currency","2443× Orb of Fusing"
"15/05/2023, 14:34:42","Crucible","swozn","modified","Fragment","6× Rusted Torment Scarab"
"15/05/2023, 14:34:42","Crucible","swozn","modified","Currency","3898× Orb of Alteration"
"15/05/2023, 14:34:41","Crucible","swozn","modified","Currency","542× Orb of Chance"
"15/05/2023, 14:33:09","Crucible","0v3r_Dk","modified","Currency","27× Vaal Orb"
"15/05/2023, 14:33:07","Crucible","0v3r_Dk","modified","Currency","8× Vaal Orb"
"15/05/2023, 14:33:06","Crucible","0v3r_Dk","modified","Divination Cards","146× The Union"
"15/05/2023, 14:33:06","Crucible","0v3r_Dk","added","Maps","Cemetery Map (T16)"
"15/05/2023, 14:33:06","Crucible","0v3r_Dk","added","Maps","Cemetery Map (T16)"
"15/05/2023, 14:33:04","Crucible","0v3r_Dk","modified","Delirium","5× Whispering Delirium Orb"
"15/05/2023, 14:33:04","Crucible","0v3r_Dk","modified","Delirium","10× Fine Delirium Orb"
"15/05/2023, 14:33:03","Crucible","0v3r_Dk","modified","Delirium","3× Diviner's Delirium Orb"
"15/05/2023, 14:33:03","Crucible","0v3r_Dk","modified","Currency","40× Divine Orb"
"15/05/2023, 14:33:03","Crucible","0v3r_Dk","modified","Currency","32× Explorer's Scouting Report"
"15/05/2023, 14:33:02","Crucible","0v3r_Dk","modified","Currency","162× Orb of Unmaking"
"15/05/2023, 14:33:02","Crucible","0v3r_Dk","modified","Currency","79× Awakened Sextant"
"15/05/2023, 14:33:02","Crucible","0v3r_Dk","modified","Currency","56× Greater Eldritch Ichor"
"15/05/2023, 14:33:01","Crucible","0v3r_Dk","modified","Currency","462× Orb of Scouring"
"15/05/2023, 14:33:01","Crucible","0v3r_Dk","modified","Currency","39× Divine Orb"
"15/05/2023, 14:33:01","Crucible","0v3r_Dk","modified","Delirium","13× Blacksmith's Delirium Orb"
"15/05/2023, 14:33:00","Crucible","0v3r_Dk","modified","Currency","388× Chaos Orb"
"15/05/2023, 14:26:31","Crucible","0v3r_Dk","removed","juice","Charged Compass"
"15/05/2023, 14:26:30","Crucible","0v3r_Dk","removed","juice","Charged Compass"
"15/05/2023, 14:26:30","Crucible","0v3r_Dk","removed","juice","Charged Compass"
"15/05/2023, 14:26:29","Crucible","0v3r_Dk","removed","juice","Polished Legion Scarab"
"15/05/2023, 14:26:29","Crucible","0v3r_Dk","removed","juice","Gilded Ambush Scarab"
"15/05/2023, 14:26:29","Crucible","0v3r_Dk","removed","juice","Gilded Divination Scarab"
"15/05/2023, 14:26:28","Crucible","0v3r_Dk","removed","juice","Polished Legion Scarab"
"15/05/2023, 14:26:28","Crucible","0v3r_Dk","removed","juice","Gilded Divination Scarab"
"15/05/2023, 14:26:27","Crucible","0v3r_Dk","removed","juice","Gilded Ambush Scarab"
"15/05/2023, 14:26:27","Crucible","0v3r_Dk","removed","juice","Gilded Ambush Scarab"
"15/05/2023, 14:26:27","Crucible","0v3r_Dk","removed","juice","Gilded Divination Scarab"
"15/05/2023, 14:26:27","Crucible","0v3r_Dk","removed","juice","Polished Legion Scarab"
"15/05/2023, 14:26:27","Crucible","0v3r_Dk","removed","juice","Gilded Reliquary Scarab"
"15/05/2023, 14:26:26","Crucible","0v3r_Dk","removed","juice","Gilded Reliquary Scarab"
"15/05/2023, 14:26:26","Crucible","0v3r_Dk","removed","juice","Gilded Reliquary Scarab"
"15/05/2023, 14:26:26","Crucible","0v3r_Dk","removed","juice","Gilded Reliquary Scarab"
"15/05/2023, 14:26:25","Crucible","0v3r_Dk","removed","juice","Polished Legion Scarab"
"15/05/2023, 14:26:25","Crucible","0v3r_Dk","removed","juice","Gilded Divination Scarab"
"15/05/2023, 14:26:24","Crucible","0v3r_Dk","removed","juice","Gilded Ambush Scarab"
"15/05/2023, 14:26:21","Crucible","0v3r_Dk","removed","juice","Wraith Nexus Cemetery Map (T16)"
"15/05/2023, 14:26:20","Crucible","0v3r_Dk","removed","juice","Twisted Remains Cemetery Map (T16)"
"15/05/2023, 14:26:19","Crucible","0v3r_Dk","removed","juice","Dark Bind Cemetery Map (T16)"
"15/05/2023, 14:26:18","Crucible","0v3r_Dk","removed","juice","Wraith Remnant Cemetery Map (T16)"
"15/05/2023, 14:25:54","Crucible","0v3r_Dk","modified","Currency","28× Vaal Orb"
"15/05/2023, 14:25:51","Crucible","0v3r_Dk","modified","Currency","10× Vaal Orb"
"15/05/2023, 14:25:41","Crucible","0v3r_Dk","removed","Currency","Fossilised Incubator"
"15/05/2023, 14:25:38","Crucible","0v3r_Dk","removed","Currency","Infused Incubator"
"15/05/2023, 14:25:33","Crucible","0v3r_Dk","removed","Currency","2× Fragmented Incubator"
"15/05/2023, 14:25:33","Crucible","0v3r_Dk","removed","Currency","2× Skittering Incubator"
"15/05/2023, 14:21:52","Crucible","swozn","modified","Currency","3888× Orb of Alteration"
"15/05/2023, 14:21:51","Crucible","swozn","modified","Currency","3868× Orb of Alteration"
"15/05/2023, 14:21:50","Crucible","swozn","modified","Currency","392× Orb of Alchemy"
"15/05/2023, 14:21:50","Crucible","swozn","modified","Fragment","7× Rusted Breach Scarab"
"15/05/2023, 14:21:49","Crucible","swozn","modified","Divination Cards","18× Man With Bear"
"15/05/2023, 14:21:49","Crucible","swozn","modified","Currency","2438× Orb of Fusing"
"15/05/2023, 14:21:48","Crucible","swozn","modified","Currency","30× Vaal Orb"
"15/05/2023, 14:21:48","Crucible","swozn","modified","Currency","3848× Orb of Alteration"
"15/05/2023, 14:21:47","Crucible","swozn","modified","Currency","3839× Orb of Alteration"
"15/05/2023, 14:21:47","Crucible","swozn","modified","Currency","3819× Orb of Alteration"
"15/05/2023, 14:21:47","Crucible","swozn","modified","Currency","133× Orb of Regret"
"15/05/2023, 14:21:46","Crucible","swozn","modified","Currency","144× Instilling Orb"
"15/05/2023, 14:21:46","Crucible","swozn","modified","Currency","541× Orb of Chance"
"15/05/2023, 14:21:46","Crucible","swozn","modified","Currency","54× Lesser Eldritch Ichor"
"15/05/2023, 14:21:45","Crucible","swozn","modified","Currency","2× Fragmented Incubator"
"15/05/2023, 14:21:45","Crucible","swozn","modified","Currency","3799× Orb of Alteration"
"15/05/2023, 14:21:45","Crucible","swozn","modified","Currency","57× Lesser Eldritch Ember"
"15/05/2023, 14:21:45","Crucible","swozn","modified","Divination Cards","167× Lingering Remnants"
"15/05/2023, 14:21:44","Crucible","swozn","modified","Currency","2437× Orb of Fusing"
"15/05/2023, 14:21:44","Crucible","swozn","modified","Currency","272× Gemcutter's Prism"
"15/05/2023, 14:21:43","Crucible","swozn","modified","Currency","3779× Orb of Alteration"
"15/05/2023, 14:21:43","Crucible","swozn","modified","Currency","504× Cartographer's Chisel"
"15/05/2023, 14:21:43","Crucible","swozn","modified","Currency","314× Jeweller's Orb"
"15/05/2023, 14:21:43","Crucible","swozn","modified","Currency","459× Orb of Scouring"
"15/05/2023, 14:21:42","Crucible","swozn","modified","Currency","3759× Orb of Alteration"
"15/05/2023, 14:21:42","Crucible","swozn","modified","Currency","380× Orb of Alchemy"
"15/05/2023, 14:21:41","Crucible","swozn","modified","Currency","479× Vivid Crystallised Lifeforce"
"15/05/2023, 14:21:41","Crucible","swozn","modified","Divination Cards","142× The Union"
"15/05/2023, 14:21:41","Crucible","swozn","modified","Currency","160× Orb of Unmaking"
"15/05/2023, 14:21:21","Crucible","0v3r_Dk","added","Maps","Cemetery Map (T16)"
"15/05/2023, 14:21:21","Crucible","0v3r_Dk","modified","Currency","77× Awakened Sextant"
"15/05/2023, 14:21:21","Crucible","0v3r_Dk","modified","Divination Cards","135× The Union"
"15/05/2023, 14:21:20","Crucible","0v3r_Dk","modified","Currency","384× Chaos Orb"
"15/05/2023, 14:21:20","Crucible","0v3r_Dk","modified","Currency","457× Orb of Scouring"
"15/05/2023, 14:21:20","Crucible","0v3r_Dk","modified","Currency","159× Orb of Unmaking"
"15/05/2023, 14:21:16","Crucible","0v3r_Dk","modified","Delirium","240× Simulacrum Splinter"
"15/05/2023, 14:21:16","Crucible","0v3r_Dk","modified","Currency","2417× Orb of Fusing"
"15/05/2023, 14:21:12","Crucible","0v3r_Dk","modified","Delirium","2× Diviner's Delirium Orb"
"15/05/2023, 14:21:07","Crucible","0v3r_Dk","modified","Currency","29× Vaal Orb"
"15/05/2023, 14:21:06","Crucible","0v3r_Dk","modified","Currency","10× Vaal Orb"
"15/05/2023, 14:14:23","Crucible","swozn","added","Maps","Cemetery Map (T16)"
"15/05/2023, 14:14:23","Crucible","swozn","added","Maps","Cemetery Map (T16)"
"15/05/2023, 14:14:18","Crucible","swozn","added","General","Sorrow Oath Blueprint: Laboratory"
"15/05/2023, 14:14:17","Crucible","swozn","added","General","Blueprint: Laboratory"
"15/05/2023, 14:14:13","Crucible","swozn","modified","Currency","2397× Orb of Fusing"
"15/05/2023, 14:14:05","Crucible","swozn","modified","Currency","3739× Orb of Alteration"
"15/05/2023, 14:14:04","Crucible","swozn","modified","Currency","3719× Orb of Alteration"
"15/05/2023, 14:14:03","Crucible","swozn","modified","Currency","3699× Orb of Alteration"
"15/05/2023, 14:14:03","Crucible","swozn","modified","Currency","536× Orb of Chance"
"15/05/2023, 14:14:02","Crucible","swozn","modified","Fragment","2× Mortal Ignorance"
"15/05/2023, 14:14:02","Crucible","swozn","modified","Currency","3679× Orb of Alteration"
"15/05/2023, 14:14:01","Crucible","swozn","modified","Currency","3659× Orb of Alteration"
"15/05/2023, 14:14:00","Crucible","swozn","modified","Currency","3639× Orb of Alteration"
"15/05/2023, 14:14:00","Crucible","swozn","modified","Currency","402× Orb of Augmentation"
"15/05/2023, 14:13:59","Crucible","swozn","modified","Currency","3619× Orb of Alteration"
"15/05/2023, 14:13:58","Crucible","swozn","modified","Currency","52× Lesser Eldritch Ichor"
"15/05/2023, 14:13:58","Crucible","swozn","modified","Currency","3599× Orb of Alteration"
"15/05/2023, 14:13:57","Crucible","swozn","modified","Fragment","9× Rusted Elder Scarab"
"15/05/2023, 14:13:57","Crucible","swozn","modified","Currency","3579× Orb of Alteration"
"15/05/2023, 14:13:56","Crucible","swozn","modified","Currency","294× Jeweller's Orb"
"15/05/2023, 14:13:56","Crucible","swozn","modified","Currency","532× Orb of Chance"
"15/05/2023, 14:13:56","Crucible","swozn","modified","Currency","485× Chromatic Orb"
"15/05/2023, 14:13:54","Crucible","swozn","added","Uniques","Bloodnotch Crimson Jewel"
"15/05/2023, 14:13:53","Crucible","swozn","modified","Currency","454× Orb of Scouring"
"15/05/2023, 14:13:52","Crucible","swozn","modified","Divination Cards","4× Last Hope"
"15/05/2023, 14:13:52","Crucible","swozn","modified","Currency","3559× Orb of Alteration"
"15/05/2023, 14:13:52","Crucible","swozn","modified","Currency","143× Instilling Orb"
"15/05/2023, 14:13:52","Crucible","swozn","modified","Currency","132× Orb of Regret"
"15/05/2023, 14:13:51","Crucible","swozn","modified","Currency","3539× Orb of Alteration"
"15/05/2023, 14:13:51","Crucible","swozn","modified","Currency","360× Orb of Alchemy"
"15/05/2023, 14:13:51","Crucible","swozn","modified","Currency","28× Grand Eldritch Ichor"
"15/05/2023, 14:13:50","Crucible","swozn","added","Divination Cards","Pride of the First Ones"
"15/05/2023, 14:13:50","Crucible","swozn","modified","Currency","2377× Orb of Fusing"
"15/05/2023, 14:13:50","Crucible","swozn","added","Currency","Infused Incubator"
"15/05/2023, 14:13:49","Crucible","swozn","modified","Fragment","88× Timeless Templar Splinter"
"15/05/2023, 14:13:49","Crucible","swozn","modified","Currency","30× Vaal Orb"
"15/05/2023, 14:13:49","Crucible","swozn","added","Divination Cards","The Inventor"
"15/05/2023, 14:13:48","Crucible","swozn","added","Divination Cards","The Patient"
"15/05/2023, 14:13:48","Crucible","swozn","added","Currency","Fragmented Incubator"
"15/05/2023, 14:13:48","Crucible","swozn","modified","Currency","5× Orb of Annulment"
"15/05/2023, 14:13:47","Crucible","swozn","modified","Divination Cards","5× The Tireless Extractor"
"15/05/2023, 14:13:47","Crucible","swozn","modified","Divination Cards","16× Man With Bear"
"15/05/2023, 14:13:47","Crucible","swozn","modified","Divination Cards","2× The Finishing Touch"
"15/05/2023, 14:13:47","Crucible","swozn","added","Divination Cards","Harmony of Souls"
"15/05/2023, 14:13:46","Crucible","swozn","modified","Currency","380× Chaos Orb"
"15/05/2023, 14:13:46","Crucible","swozn","modified","Divination Cards","166× Lingering Remnants"
"15/05/2023, 14:13:46","Crucible","swozn","modified","Currency","75× Awakened Sextant"
"15/05/2023, 14:13:45","Crucible","swozn","modified","Currency","270× Gemcutter's Prism"
"15/05/2023, 14:13:45","Crucible","swozn","modified","Currency","57× Enkindling Orb"
"15/05/2023, 14:13:44","Crucible","swozn","modified","Divination Cards","4× Time-Lost Relic"
"15/05/2023, 14:13:44","Crucible","swozn","modified","Divination Cards","131× The Union"
"15/05/2023, 14:13:44","Crucible","swozn","modified","Currency","500× Cartographer's Chisel"
"15/05/2023, 14:13:37","Crucible","0v3r_Dk","modified","Currency","3519× Orb of Alteration"
"15/05/2023, 14:13:37","Crucible","0v3r_Dk","modified","Currency","72× Awakened Sextant"
"15/05/2023, 14:13:37","Crucible","0v3r_Dk","modified","Divination Cards","124× The Union"
"15/05/2023, 14:13:36","Crucible","0v3r_Dk","modified","Fragment","20× Rusted Ambush Scarab"
"15/05/2023, 14:13:36","Crucible","0v3r_Dk","modified","Delirium","6× Thaumaturge's Delirium Orb"
"15/05/2023, 14:13:36","Crucible","0v3r_Dk","added","Maps","Barrows Map (T14)"
"15/05/2023, 14:13:35","Crucible","0v3r_Dk","modified","Currency","3× Surveyor's Compass"
"15/05/2023, 14:13:35","Crucible","0v3r_Dk","added","Maps","Cemetery Map (T16)"
"15/05/2023, 14:13:35","Crucible","0v3r_Dk","modified","Delirium","213× Simulacrum Splinter"
"15/05/2023, 14:13:34","Crucible","0v3r_Dk","modified","Currency","31× Explorer's Scouting Report"
"15/05/2023, 14:13:34","Crucible","0v3r_Dk","modified","Currency","465× Chromatic Orb"
"15/05/2023, 14:13:34","Crucible","0v3r_Dk","modified","Currency","54× Greater Eldritch Ichor"
"15/05/2023, 14:13:33","Crucible","0v3r_Dk","modified","Divination Cards","3× The Risk"
"15/05/2023, 14:13:33","Crucible","0v3r_Dk","added","Maps","Cemetery Map (T16)"
"15/05/2023, 14:13:32","Crucible","0v3r_Dk","modified","Delirium","12× Blacksmith's Delirium Orb"
"15/05/2023, 14:13:32","Crucible","0v3r_Dk","modified","Currency","157× Orb of Unmaking"
"15/05/2023, 14:13:28","Crucible","0v3r_Dk","modified","Currency","374× Chaos Orb"
"15/05/2023, 14:13:28","Crucible","0v3r_Dk","modified","Currency","29× Divine Orb"
"15/05/2023, 14:13:27","Crucible","0v3r_Dk","added","Delve","Perfect Fossil"
"15/05/2023, 14:06:04","Crucible","swozn","modified","Currency","14× Transmutation Shard"
"15/05/2023, 14:06:03","Crucible","swozn","added","Maps","Cemetery Map (T4)"
"15/05/2023, 14:05:55","Crucible","swozn","modified","Currency","28× Vaal Orb"
"15/05/2023, 14:05:52","Crucible","0v3r_Dk","removed","juice","2× Vaal Scouting Report"
"15/05/2023, 14:05:51","Crucible","0v3r_Dk","added","juice","Wraith Remnant Cemetery Map (T16)"
"15/05/2023, 14:05:43","Crucible","swozn","removed","Maps","Ghastly Core Cemetery Map (T16)"
"15/05/2023, 14:05:43","Crucible","0v3r_Dk","removed","juice","Destiny Shadows Cemetery Map (T16)"
"15/05/2023, 14:05:36","Crucible","0v3r_Dk","removed","juice","Hidden Spires Cemetery Map (T16)"
"15/05/2023, 14:05:34","Crucible","swozn","removed","Maps","Cemetery Map (T16)"
"15/05/2023, 14:05:33","Crucible","swozn","removed","Maps","Cemetery Map (T16)"
"15/05/2023, 14:05:25","Crucible","swozn","removed","Maps","Twisted Bind Cemetery Map (T16)"
"15/05/2023, 14:05:24","Crucible","swozn","removed","Maps","Destiny Crest Cemetery Map (T16)"
"15/05/2023, 14:05:21","Crucible","swozn","removed","Maps","Abandoned Apex Cemetery Map (T16)"
"15/05/2023, 14:05:06","Crucible","swozn","modified","Currency","8× Vaal Orb"
"15/05/2023, 14:05:05","Crucible","swozn","modified","Currency","2364× Orb of Fusing"
"15/05/2023, 14:05:05","Crucible","swozn","modified","Currency","3× Scroll Fragment"
"15/05/2023, 14:05:04","Crucible","swozn","modified","Currency","28× Vaal Orb"
"15/05/2023, 14:05:04","Crucible","swozn","modified","Currency","384× Orb of Augmentation"
"15/05/2023, 14:05:03","Crucible","swozn","added","Maps","Cemetery Map (T4)"
"15/05/2023, 14:05:02","Crucible","swozn","added","Maps","Wraith Nexus Cemetery Map (T16)"
"15/05/2023, 14:04:26","Crucible","swozn","added","Maps","Cyclopean Sepulchre Cemetery Map (T16)"
"15/05/2023, 14:04:21","Crucible","swozn","added","Maps","Dire Crest Cemetery Map (T16)"
"15/05/2023, 14:04:18","Crucible","swozn","added","Maps","Dread Cradle Cemetery Map (T16)"
"15/05/2023, 14:04:14","Crucible","swozn","added","Maps","Ancient Shadows Cemetery Map (T16)"
"15/05/2023, 14:04:10","Crucible","swozn","added","Maps","Terror Crest Cemetery Map (T16)"
"15/05/2023, 14:03:32","Crucible","swozn","modified","Currency","22× Vaal Orb"
"15/05/2023, 14:03:20","Crucible","swozn","removed","Maps","Unholy Refuge Cemetery Map (T16)"
"15/05/2023, 14:03:17","Crucible","swozn","added","Maps","Cabal Remnant Cemetery Map (T16)"
"15/05/2023, 14:03:17","Crucible","swozn","added","Maps","Cabal Remnant Cemetery Map (T16)"
"15/05/2023, 14:03:15","Crucible","swozn","removed","Maps","Cabal Remnant Cemetery Map (T16)"
"15/05/2023, 14:03:14","Crucible","swozn","removed","Maps","Cabal Remnant Cemetery Map (T16)"
"15/05/2023, 14:03:13","Crucible","swozn","removed","Maps","Cemetery Map (T16)"
"15/05/2023, 14:03:13","Crucible","swozn","removed","Maps","Cemetery Map (T16)"
"15/05/2023, 14:03:11","Crucible","swozn","removed","Maps","Cemetery Map (T16)"
"15/05/2023, 14:03:09","Crucible","swozn","removed","Maps","Cemetery Map (T16)"
"15/05/2023, 14:03:07","Crucible","swozn","removed","Maps","Cemetery Map (T16)"
"15/05/2023, 14:03:04","Crucible","swozn","removed","Maps","Cemetery Map (T16)"
"15/05/2023, 14:03:03","Crucible","swozn","removed","Maps","Cemetery Map (T16)"
"15/05/2023, 14:03:02","Crucible","swozn","removed","Maps","Cemetery Map (T16)"
"15/05/2023, 14:03:02","Crucible","swozn","removed","Maps","Agony Edge Cemetery Map (T16)"
"15/05/2023, 14:03:01","Crucible","swozn","removed","Maps","Graven Ziggurat Cemetery Map (T16)"
"15/05/2023, 14:02:53","Crucible","swozn","removed","Maps","Superior Cemetery Map (T16)"
"15/05/2023, 14:02:50","Crucible","swozn","removed","Maps","Cemetery Map (T16)"
"15/05/2023, 14:02:49","Crucible","swozn","removed","Maps","Cemetery Map (T16)"
"15/05/2023, 14:02:47","Crucible","swozn","removed","Maps","Ghost Spires Cemetery Map (T16)"
"15/05/2023, 14:02:42","Crucible","swozn","removed","Maps","Cemetery Map (T16)"
"15/05/2023, 14:02:42","Crucible","swozn","removed","Maps","Cemetery Map (T16)"
"15/05/2023, 14:02:27","Crucible","swozn","added","Maps","Cemetery Map (T16)"
"15/05/2023, 14:02:26","Crucible","swozn","modified","Currency","3509× Orb of Alteration"
"15/05/2023, 14:02:25","Crucible","swozn","modified","Currency","51× Lesser Eldritch Ichor"
"15/05/2023, 14:02:25","Crucible","swozn","modified","Currency","154× Orb of Unmaking"
"15/05/2023, 14:02:24","Crucible","swozn","added","Currency","2× Skittering Incubator"
"15/05/2023, 14:02:24","Crucible","swozn","modified","Divination Cards","4× The Tireless Extractor"
"15/05/2023, 14:02:23","Crucible","swozn","modified","Currency","444× Orb of Scouring"
"15/05/2023, 14:02:23","Crucible","swozn","modified","Currency","3507× Orb of Alteration"
"15/05/2023, 14:02:22","Crucible","swozn","modified","Currency","493× Cartographer's Chisel"
"15/05/2023, 14:02:22","Crucible","swozn","modified","Fragment","7× Rusted Elder Scarab"
"15/05/2023, 14:02:21","Crucible","swozn","modified","Currency","512× Orb of Chance"
"15/05/2023, 14:02:21","Crucible","swozn","modified","Fragment","3× Rusted Metamorph Scarab"
"15/05/2023, 14:02:21","Crucible","swozn","modified","Currency","53× Greater Eldritch Ichor"
"15/05/2023, 14:02:20","Crucible","swozn","modified","Currency","129× Orb of Regret"
"15/05/2023, 14:02:20","Crucible","swozn","modified","Currency","492× Orb of Chance"
"15/05/2023, 14:02:20","Crucible","swozn","modified","Currency","2344× Orb of Fusing"
"15/05/2023, 14:02:20","Crucible","swozn","modified","Currency","3487× Orb of Alteration"
"15/05/2023, 14:02:19","Crucible","swozn","modified","Currency","3467× Orb of Alteration"
"15/05/2023, 14:02:18","Crucible","swozn","modified","Currency","455× Chromatic Orb"
"15/05/2023, 14:02:18","Crucible","swozn","modified","Fragment","4× Rusted Cartography Scarab"
"15/05/2023, 14:02:18","Crucible","swozn","modified","Divination Cards","117× The Union"
"15/05/2023, 14:02:17","Crucible","swozn","modified","Divination Cards","156× Lingering Remnants"
"15/05/2023, 14:02:17","Crucible","swozn","modified","Currency","269× Gemcutter's Prism"
"15/05/2023, 14:02:16","Crucible","swozn","modified","Currency","445× Chromatic Orb"
"15/05/2023, 14:02:16","Crucible","swozn","modified","Currency","362× Chaos Orb"
"15/05/2023, 14:02:16","Crucible","swozn","modified","Fragment","5× Rusted Torment Scarab"
"15/05/2023, 14:02:16","Crucible","swozn","modified","Currency","6× Tainted Blacksmith's Whetstone"
"15/05/2023, 14:02:15","Crucible","swozn","modified","Currency","70× Awakened Sextant"
"15/05/2023, 14:02:15","Crucible","swozn","modified","Currency","3447× Orb of Alteration"
"15/05/2023, 14:02:15","Crucible","swozn","modified","Currency","472× Orb of Chance"
"15/05/2023, 14:02:14","Crucible","swozn","modified","Currency","56× Lesser Eldritch Ember"
"15/05/2023, 14:02:14","Crucible","swozn","added","Currency","Fossilised Incubator"
"15/05/2023, 14:02:13","Crucible","swozn","modified","Essence","4× Screaming Essence of Hatred"
"15/05/2023, 14:02:13","Crucible","swozn","modified","Essence","2× Screaming Essence of Wrath"
"15/05/2023, 14:02:13","Crucible","swozn","modified","Essence","5× Screaming Essence of Greed"
"15/05/2023, 14:02:12","Crucible","swozn","modified","Currency","140× Instilling Orb"
"15/05/2023, 13:59:31","Crucible","0v3r_Dk","modified","Delirium","4× Whispering Delirium Orb"
"15/05/2023, 13:59:31","Crucible","0v3r_Dk","modified","Delirium","10× Blacksmith's Delirium Orb"
"15/05/2023, 13:59:31","Crucible","0v3r_Dk","modified","Currency","125× Orb of Regret"
"15/05/2023, 13:59:30","Crucible","0v3r_Dk","modified","Fragment","2× Timeless Vaal Emblem"
"15/05/2023, 13:59:30","Crucible","0v3r_Dk","modified","Currency","20× Tainted Jeweller's Orb"
"15/05/2023, 13:59:30","Crucible","0v3r_Dk","modified","Delirium","180× Simulacrum Splinter"
"15/05/2023, 13:59:29","Crucible","0v3r_Dk","modified","Divination Cards","111× The Union"
"15/05/2023, 13:59:29","Crucible","0v3r_Dk","added","Maps","Cemetery Map (T16)"
"15/05/2023, 13:59:29","Crucible","0v3r_Dk","modified","Currency","359× Chaos Orb"
"15/05/2023, 13:59:28","Crucible","0v3r_Dk","modified","Currency","69× Awakened Sextant"
"15/05/2023, 13:59:28","Crucible","0v3r_Dk","modified","Currency","8× Veiled Chaos Orb"
"15/05/2023, 13:59:24","Crucible","0v3r_Dk","modified","Currency","7× Singular Scouting Report"
"15/05/2023, 13:59:24","Crucible","0v3r_Dk","modified","Currency","52× Greater Eldritch Ichor"
